,epoch,train_time,train_loss,train_acc,valid_time,valid_loss,valid_acc,total time
0,1,4.402605837211013,1.6502317392948977,0.4022229381443299,0.28943093586713076,1.1632223331451417,0.5773,4.402605837211013
1,2,4.410645437892526,0.9554697148689097,0.6612032860824743,0.2896026810631156,1.2050588593006133,0.6194,4.410645437892526
2,3,4.400103027001023,0.7312229122347247,0.7449057667525774,0.28931210888549685,0.6921899279594421,0.7595,4.400103027001023
3,4,4.397548430133611,0.6240768023603356,0.7816325708762887,0.2891335589811206,0.6513293790459633,0.7816,4.397548430133611
4,5,4.398024792782962,0.5587582723741641,0.8061573775773195,0.2888221079483628,0.712705773806572,0.7613,4.398024792782962
5,6,4.3962432644329965,0.4939661399370117,0.8298163659793815,0.2887350716628134,0.49596710947752,0.8279,4.3962432644329965
6,7,4.398738132789731,0.4425087081719689,0.8495489690721649,0.2915485920384526,0.5242629818558693,0.8173,4.398738132789731
7,8,4.40005045896396,0.40455030192880287,0.8614086662371134,0.2892195051535964,0.5707502296090126,0.8046,4.40005045896396
8,9,4.399342852178961,0.3795291314348002,0.8713957796391752,0.2892383160069585,0.5466596691966057,0.8172,4.399342852178961
9,10,4.39899845700711,0.35065298235600756,0.8810808634020618,0.2904586289077997,0.4014329136490822,0.8645,4.39899845700711
10,11,4.3961155619472265,0.3287684279686013,0.8891349871134021,0.2889865031465888,0.5140205178141594,0.8244,4.3961155619472265
11,12,4.407278404105455,0.30925143113090975,0.8952963917525774,0.2897438630461693,0.4165253115415573,0.8596,4.407278404105455
12,13,4.413918031845242,0.2882491103349465,0.9030082152061856,0.29149744706228375,0.5542058921337127,0.8099,4.413918031845242
13,14,4.4142308216542006,0.259332956506189,0.9124315399484536,0.2904521282762289,0.34759868149757384,0.8853,4.4142308216542006
14,15,4.421831694897264,0.2355178336291238,0.9209890463917526,0.2908509592525661,0.3957003740310669,0.8697,4.421831694897264
15,16,4.411881858017296,0.20797370963000222,0.9306137242268041,0.29003926506266,0.30926151216030123,0.8957,4.411881858017296
16,17,4.412862669676542,0.18005220928786264,0.9393323131443299,0.29032115126028657,0.27228224759101866,0.9097,4.412862669676542
17,18,4.410855337977409,0.15114181683658018,0.9513732280927835,0.28961609909310937,0.21930724025964737,0.9267,4.410855337977409
18,19,4.414025055244565,0.12062810882733963,0.9627496778350515,0.28961455076932907,0.20636910395622254,0.9324,4.414025055244565
19,20,4.421506450045854,0.09810293637955389,0.9702601481958762,0.29064264334738255,0.18501205946207047,0.9371,4.421506450045854
